Name	Set	ImageFile	Id Number	Type	Pull Cost	Attack Power	Defense Power	Pull Generated	Rarity	Traits	Rules
Bruce Barrett (A021)	arcana	A021	A021	Character 	0	1	1	0	C2	Human	"Score 1 Influence when you call Bruce Barrett.  If he is popped, you lose 1 Influence."
Bast (A022)	arcana	A022	A022	Character 	5@	6	5	2	U1	"Nekros, Saou, Astral"	Crank to Control any Saou.
Belakarkov (A023)	arcana	A023	A023	Character 	0@	0	1	*	C2	"Nekros, Astral"	Flip to generate 1 Pull.  Cannot use non-Astral Gear.  +1 Pull when cranked.
Stas Bendick (A024)	arcana	A024	A024	Character 	3	3	3	-	C1	"Human, Nekros, Psychic"	Crank any time to Flip a Character who attacks him.
Tomek Bereszowski (A025)	arcana	A025	A025	Character 	2	2	3	-	C1	"Mutant, Cabal"	"Crank any time to give Tomek +4 DP and replace his trait ""Mutant"" with ""Animal""."
Big Mitts (A026)	arcana	A026	A026	Character 	2	5*	5	-	U2	"Yeti, Gladstein, Psychic"	"Immune: Surprise.  If he makes an attack, he is flipped immediately after combat is resolved."
Blind Spot (A027)	arcana	A027	A027	Condition 	1	-	-	-	C2	"Atlantean, Psychic"	Crank any Psychic (with the controller's permission) when you call this condition.  Target Character cannot attack this Psychic.
Book of Malahel (A028)	arcana	A028	A028	Gear 	1	*	*	-	U2	"Book, Astral"	+2 vs. Nekroi.  Character is Immune: Nekros.  Non-cumulative.
Book of Putrescences (A029)	arcana	A029	A029	Gear 	2	-	-	-	U2	"Book, Astral"	Unique.  Astral user may crank any time to cancel an event which could save another Character.
Broadcast (A030)	arcana	A030	A030	Whammy 	-	-	-	-	U1	"Fringe, Psychic"	"On the turn this card is played, all the players keep the cards in their hand face up on the table - not ""in play"", but visible to the other players."
Bubbles (A031)	arcana	A031	A031	Character 	4@	-	6	2	U1	"Animal, Psychic"	"Last rank only.  Cannot attack.  Crank any time to cancel any Psychic effect.  Exclude: D'Aubainne, Government, Pharaoh, Quisling."
Canopic Jar (A032)	arcana	A032	A032	Condition 	1@	-	0	0	U2	"Saou, Astral"	"The Canopic Jar permits you to take a Saou from your discard pile, and place it, with this Condition, in your Conspiracy as though you were calling it from your hand.  Saou gains abilities ""Cannot Attack.  Cannot Use Gear"".  If this condition is popped, the Saou is popped.  If the Saou is popped, it remains in play only in terms of Uniqueness."
Carcinogenia (A033)	arcana	A033	A033	Character 	2@	-	1	-	U2	"Nekros, Astral"	Cannot attack.  Every adjacent (not diagonal) Character in the Conspiracy suffers -1 DP.  Crank any time to give one Character -1 AP or -4 DP.
Cat's Feet (A034)	arcana	A034	A034	Condition 	1@	-	-	-	C2	Psychic	"Character gains trait ""Psychic"" and ability ""Surprise""."
Charismatic Resevoir (A035)	arcana	A035	A035	Condition 	2	-	-	-	C2	"Saou, Astral"	"Crank target Saou and discard this Condition to generate 2 non-Influence Pull and draw a new card,"
Chateau Melmoth (A036)	arcana	A036	A036	Resource 	0	-	-	-	C1	Cabal	"2 Pull to call Cabals, Astral cards, or Psychic cards.  Unique."
CPC Crackdown (A037)	arcana	A037	A037	Environmental 	4@	-	-	-	U1	"CPC, Government"	"Each player may uncrank not more than one Psychic or Astral during their uncrank phase, except Cheryls, Constances, CPCs, D'Aubainnes, and Governments."
CPC Headquarters (A038)	arcana	A038	A038	Resource 	0@	-	-	*	U2	"CPC, DBI, Government"	4 Pull to call CPC cards.  2 Pull to call Government and DBI cards.  Unique.
Anastasia Crowley (A039)	arcana	A039	A039	Character 	3	2	5	2	U1	"Human, Cabal"	+2 Pull to call Cabals.  Exclude: Compton.
Anastasia Crowley (A040)	arcana	A040	A040	Character 	5	2	5	2	U1	"Human, Cabal, Astral, Registered"	+2 Pull to call Cabal or Astral cards.  Flip to discard one card chosen from an opponent's hand.  Exclude: Compton.
Monique D'Aubainne (A041)	arcana	A041	A041	Character 	9@	3	9	3	U1	"Nekros, D'Aubainne, Astral"	+2 Pull to call Astral cards.  Crank to Control any Astral or Government.
Dark Secrets of Arthur Compton (A042)	arcana	A042	A042	Gear 	1	*	*	-	C2	"Book, Compton"	"-2 Power vs. Comptons or -1 Power vs. Astrals and Nekroi (whichever is greater).  Non-cumulative.  Character cannot choose not to use this gear.  Anyone can pay 1 pull to pop this Gear.  NOTE: ""Whichever is Greater"" refers to attacks against characters wh"
Delicatessen (A043)	arcana	A043	A043	Character 	4	2	2	-	U2	"Human, Cabal, Astral, Registered"	Pay pull equal to the cost of any character in your dead pile to give her all that Character's special abilities for one round.
Devourer (A044)	arcana	A044	A044	Character 	2@	-	4	0	U2	"Nekros, Astral"	Flip to pop any Astral Resource.  Last Rank.  Cannot attack.  Cannot be attacked by non-Astrals.
Tanja Djilas (A045)	arcana	A045	A045	Character 	4	3	3	-	U1	"Mutant, CPC"	"When she pops a character, her Power (excluding Gear) is doubled."
Doubting Thomas (A046)	arcana	A046	A046	Condition 	2@	-	-	-	C1	"Academic, Neutraliser"	"Target Human cannot attack Aliens, Astrals, Fringes, or Psychics.  If target is attacked by an Alien, Astral, Fringe, or Psychic, this condition is popped."
Ross Dowden (A047)	arcana	A047	A047	Character 	1	1	1	1*	C2	"Human, Magic Circle, Psychic, Academic, Registered"	"Immune: Surprise.  +1 Pull to call Nekros, Magic Circle, or CPC cards."
Mesut Economou (A048)	arcana	A048	A048	Character 	1	0	3	1*	C2	"Human, Cabal, Entrepreneur, Book"	+2 Pull to call Book cards.
Sani Enahoro (A049)	arcana	A049	A049	Character 	2	3	3	-	C2	"Human, Neutraliser, Cloak"	Crank to Avoid Combat if attacked by an Astral or Psychic.
Execration (A050)	arcana	A050	A050	Condition 	1	-	*	-	U2	"Saou, Astral"	Play on any Astral and immediately specify one other Unique character by name.  This Astral gets +5 DP vs the named enemy.
Exorcism (A051)	arcana	A051	A051	Whammy 	-	-	-	-	U2	Astral	Pop any Nekros card.  You may play this card out of turn to pop a Nekros card as it is called.
Lou Farazzi (A052)	arcana	A052	A052	Character 	1	1	1	-	C2	"Human, Throckmorton, Entrepreneur"	Crank the Throckmorton Device any time for Lou to Martyr for any Throckmorton.
Adrian Fig (A053)	arcana	A053	A053	Character 	2	4	4	-	U1	"Human, Magic Circle"	"Crank any time to draw any attack on Jersey Smith to him.  The attacker attacks Adrian instead, even if this is not normally possible."
Ingrid Fjernsen (A054)	arcana	A054	A054	Character / Condition 	4	-	1	-	U1	"Human, Neutraliser, Psychic"	"Ingrid may function as a Character or Condition.  She is a Character when called.  Character:  Cannot attack.  Last Rank.  Crank to place Ingrid as a Condition on a Human who would be a legal target if she were an attacker.  Condition:  Gains trait Possession.  Unique.  Ingrid's player may control target, crank it to move Ingrid to an adjacent Human, or crank it to return Ingrid (cranked) to her conspiracy.  If target is popped, Ingrid returns (cranked) to her Conspiracy."
Nicolas Flamel (A055)	arcana	A055	A055	Character 	2	0	4	*	U1	"Human, Astral"	Crank to give any Character +2 Pull.  Nicolas has +2 Pull when cranked.
Flooding Nile (A056)	arcana	A056	A056	Condition 	3@	-	-	-	U2	"Saou, Astral"	Character may flip to flip all Characters in one file.  Discard this condition after it is so used.
Forked Tongue (A057)	arcana	A057	A057	Condition 	1@	-	-	1	U2	"Nekros, Astral"	"Play on Human or Mutant only.  Character's first trait is replaced with ""Nekros"".  Character may Crank to control any non-Nekros with which it shares a trait.  If this condition is popped while the Character remains in play, the player who controls the character loses 1 influence."
Friends in Science Barrio (A058)	arcana	A058	A058	Resource 	0	-	-	1*	C2	Academic	Non-Influence Pull only.  +1 Pull to call Academic cards.
Gherwalbus (A059)	arcana	A059	A059	Character 	1@	-	1	*	C2	"Nekros, Astral"	Crank to give an adjacent character +1 Pull.  Cannot attack.  +1 Pull when cranked.
Rosa Ghitoni (A060)	arcana	A060	A060	Character 	1	1	1	-	C2	"Human, Cabal, Psychic, Registered"	Crank any time to cancel the Pull generated by any Artist card.
Gnaoul (A061)	arcana	A061	A061	Character / Gear 	3@	#	4	1	U1	"Nekros, Compton, Astral"	"Gnaoul may function as a Character or Gear.  Character: Cannot attack.  Cannot use gear.  Crank to move onto another character (becoming Gear).  Gear: Unique.  User receives +2 AP.  DP=4 and Pull=1.  Crank user to remove Gnaoul (which becomes a Character).  If user is popped, Gnaoul remains in user's place as Character."
Suvadra Goldstone (A062)	arcana	A062	A062	Character 	1	3	3	-	C2	"Human, Atlantean, Psychic, Registered"	Immune: Psychic Gear.  +1 vs. Academics.  Exclude: Academics.
Notify Grout (A063)	arcana	A063	A063	Character 	2	5	2	-	C1	"Human, Hermetic, Astral"	Bypass any Psychic.
Saeb Hanoun (A064)	arcana	A064	A064	Character 	0	1	1	-	C2	"Human, Saou"	Martyr for any Saou.
"Harayelicon, The (A065)"	arcana	A065	A065	Gear 	2@	-	-	-	U2	"Book, Astral, Nekros"	Unique.  Astral user may crank any time to save any Nekros.
Harem Conspiracy (A066)	arcana	A066	A066	Condition 	*@	-	-	-	U2	"Saou, Astral"	Cost equals DP of target character as modified only by Astral Gear and Effects.  Target may not crank.  The player who called this card may pay 1 Pull to pop it.
Harmattan (A067)	arcana	A067	A067	Character 	5	3	4	-	U1	"Human, Atlantean, Psychic"	"Crank any time to cancel any Character's action as it is declared.  The Character is cranked, but the action never takes place."
Nawal Al-Haz (A068)	arcana	A068	A068	Character 	1	-	1	0	C1	"Human, Psychic"	"Cannot attack.  Pull=0.  Enemy combatants suffer -5 AP; if Nawal survives the combat, she is flipped."
Head on the Door (A069)	arcana	A069	A069	Resource 	0@	-	-	-	C1	Compton	"Crank any time to make a Character ""Immune: Surprise"".  Unique."
Healing Statue (A070)	arcana	A070	A070	Gear 	2@	-	-	-	U1	"Saou, Astral"	Astral user may flip any time to Save any Human.  Unique.
Triple Henderson (A071)	arcana	A071	A071	Character 	1	3*	2*	-	C2	"Human, Neutraliser, Cloak"	+2 vs. non-Humans.
Bulk Hertzog (A072)	arcana	A072	A072	Character 	2	3	2	-	U2	"Human, Dogface, Psychic, Registered"	Crank to Control any animal.  Patrol baboons ahead of him in his file don't count against the limit of one per player.
Athena Iakatos (A073)	arcana	A073	A073	Character 	1	2	1	1	U2	"Human, Entrepreneur, Psychic, Registered"	Crank to view the top card of any player's deck.
Iron Skin (A074)	arcana	A074	A074	Whammy 	-	-	3	-	C2	Psychic	Play on Psychic onbly.  Play any time.  +3 DP.
Kamikaze (A075)	arcana	A075	A075	Condition 	4@	+4*	-	-	U1	"Nekros, Possession, Astral"	"+4 AP.  Character's first trait is replaced with ""Nekros"".  If there are no targets Character can attack, Condition is popped.  If Character is not active, uncrank it.  It must attack immediately and may not voluntarily crank except to attack.  If Charact"
Andrej Kawierna (A076)	arcana	A076	A076	Character 	3	3	3	-	U2	"Mutant, Neutraliser"	"Crank to pop any cranked Character with any ""Cannot be attacked"" ability.  If that character has pull and is not saved, the player who controls it loses Influence qual to the Character's Pull."
Donna Khalifah (A077)	arcana	A077	A077	Character 	1	0	3	*	C2	"Human, Saou, Astral"	+2 Pull to call Astral cards or to power Astral effects.
Kiyoteru Wakai (A078)	arcana	A078	A078	Character 	2	5*	2*	-	C2	"Human, CPC, Psychic, Cloak, Registered"	+3 Power vs. Psychics.
Eugene Krebbs (A079)	arcana	A079	A079	Character 	1	2	1	1	C2	"Human, Entrepreneur"	"Immune: Mind Control Messages, Radio Laser Satellite, and Control by Psychic cards."
Kunimatsu Kozo (A080)	arcana	A080	A080	Character 	1	3	2	-	C1	"Human, Atlantean, Psychic"	"Bypass any Android, Cyborg or Machine."
Billy Kwei (A081)	arcana	A081	A081	Character 	4	4	4	-	U2	Sandman	"Crank to call a Tulpa Condition onto a Character already in play.  Crank to pop any Tulpa.  The Popped Tulpa's controller loses Influence equal to its Pull, if any."
Fava Lahkdar (A082)	arcana	A082	A082	Character 	2	2	2	-	C2	"Human, Terminal, Psychic, Registered"	Bypass.  Can attack Coral Entity.
Lightning Strike (A083)	arcana	A083	A083	Whammy 	-	3	-	-	C2	Psychic	Play on Psychic only.  Play any time.  +3 AP.
Love Philtre (A084)	arcana	A084	A084	Condition 	1@	-	-	-	C2	"Astral, Control"	Specify by name any Unique Character in play when you call this Condition.  Target cannot attack this Character.
Ma'at (A085)	arcana	A085	A085	Environmental 	4@	-	-	-	U1	"Saou, Control"	"Anyone may crank this card any time to cancel any Fortune, Cut-Up, Chaos, or Sub-Random Whammy except Gang-A-Gley."
Magic Mural (A086)	arcana	A086	A086	Resource 	0@	-	-	*	C2	"Astral, Saou"	2 Pull to call Saou Conditions.  You may call Saou Conditions or Astral Conditions (except those with a variable cost) onto a Magic Mural.  Crank Magic Mural to move a condition from it to a Character.
Michelle Malafi (A087)	arcana	A087	A087	Character 	1	2	3	-	C2	"Human, Hermetic, Cloak"	"Immune: Possession, Control."
Mammon (A088)	arcana	A088	A088	Character 	2@	6	3	-	U2	"Nekros, Astral"	The effects of his attack are cancelled if any player(s) pay a total of 6 Pull.  Cards may be cranked out of turn to generate this pull.
Djibril Maougal (A089)	arcana	A089	A089	Character 	1	1	2	*	C2	"Human, CPC"	+1 Pull to call cards.  +2 Pull to call Astrals and Psychics.
Marlowe Reading Room (A090)	arcana	A090	A090	Resource 	0@	-	-	-	U2	"Academic, Book, Magic Circle"	2 Pull to call Book cards.  Each player may have only one Marlowe Reading Room in Play.
Ricardo Martinez (A091)	arcana	A091	A091	Character 	3	2	2	-	U1	"Human, Throckmorton, Astral"	Crank to crank any character or to uncrank any Throckmorton without positive Pull.
Sister Mary Evangeline (A092)	arcana	A092	A092	Character 	3	-	2	1	C1	"Human, Sommerite"	"Crank to pop any Nekros or Nekros Condition.  You may crank her out of turn to pop any Nekros or Nekros Condition as it is called.  Cannot attack.  Exclude: Comption, Glorious Lord, Magic Circle, Nekros."
Media Skepticism (A093)	arcana	A093	A093	Environmental 	4	-	-	-	U1	"Neutraliser, Media"	"All Astrals, Psychics and Sub-Randoms suffer -1 Pull.  (Pull cannot go negative.)"
Cheb Mehenni (A094)	arcana	A094	A094	Character 	3	1	3	1	C1	"Human, Atlantean, Artist, Psychic"	Crank any time to give every Character in his Conspiracy +1 AP.
Misdirection (A095)	arcana	A095	A095	Whammy 	-	-	-	-	C1	"Chaos, Cut-Up, Saou"	"Redirect an Astral or Saou Condition as it is called by another player onto a valid target card in your conspiracy.  For variable-cost cards, cost remains what it would have been for the original target."
Marilyn Munyaradzi (A096)	arcana	A096	A096	Character 	2	1	1	1	C1	"Glug, Cabal"	"+1 Pull to call Cabals.  +1 Power if at least one other Glug is in play in the same Conspiuracy.  Immune: Astral, Control, Psychic."
Myriad (A097)	arcana	A097	A097	Character 	1	1	4	-	C2	"Android, Psychic"	"Not Unique.  Immune: Surprise.  If Myriadf is popped, every other Myriad in play returns to her owner's hand.  Exclude: Throckmorton."
Damayanti Narasimhaiah (A098)	arcana	A098	A098	Character 	1	0	2	-	C1	"Human, Hermetic, Control"	Crank any time to nullify Pull generated by any Astral.
Anima Nee-Owoo (A099)	arcana	A099	A099	Character 	1	0	2	1*	C2	"Human, CPC, DBI, Government"	"Crank to give any Astral or Psychic the trait ""Registered"" permanently.  (You may use a token as a reminder.)"
Farah Nekhbet (A100)	arcana	A100	A100	Character 	8	2	8	2	U1	"Pharaoh, Book"	"Crank to call any Book Gear.  Crank to Control any Human or Mutant she could attack.  Cannot be attacked by Humans or Mutants.  Immune: Surprise, Control.  Exclude: Artists."
Nekromuzzle (A101)	arcana	A101	A101	Condition 	1@	-	-	-	C1	"Fringe, Magic Circle"	Target Nekros cannot crank.
Nicolai Nemeth (A102)	arcana	A102	A102	Character 	0	0	4	-	C1	"Human, Cabal"	Crank to call Anastasia Crowley.
Nickels (A103)	arcana	A103	A103	Character 	3	4	3	-	C2	"Human, Glorious Lord"	+2 DP vs. Nekroi.  Gang Up with any Nekros.
Dumiso Nkomo (A104)	arcana	A104	A104	Character 	2	1	2	-	U1	"Human, Neutraliser, CPC, Psychic, Cloak"	"Crank to pop any cranked Astral if you pay Pull equal to target's DP.  For this purpose, target DP is not affected by non-Psychic effects."
Bjorn Nkwera (A105)	arcana	A105	A105	Character 	1	3	3	-	C1	"Human, Aries, Psychic"	Crank to call any number of Bloodlust.
Leila Noureddin (A106)	arcana	A106	A106	Character 	2	1	4	-	U2	"Human, Atlantean, Psychic"	Immune: Astral.  Crank any time to make another Character Immune: Astral.
Yvonne Pacheco (A107)	arcana	A107	A107	Character 	2	3*	3*	-	C2	"Human, Throckmorton, Astral"	+3 vs. Astrals.
Umberto Palladino (A108)	arcana	A108	A108	Character 	2	2	3	1	U1	"Human, Vornite, Neutraliser, Atlantean, Cloak, Psychic"	+2 vs. Vornites and Neutralizers.  Crank any time to replace this card with an Umberto Palladino from your hand.
Umberto Palladino (A109)	arcana	A109	A109	Character 	2	2	3	1	U1	"Human, Vornite, Neutraliser, Atlantean, Cloak, Psychic"	+2 vs. Neutralizers and Atlanteans.  Crank any time to replace this card with an Umberto Palladino from your hand.
Umberto Palladino (A110)	arcana	A110	A110	Character 	2	2	3	1	U1	"Human, Vornite, Neutraliser, Atlantean, Cloak, Psychic"	+2 vs. Vornites and Atlanteans.  Crank any time to replace this card with an Umberto Palladino from your hand.
Dr. Jamaranathy Panil (A111)	arcana	A111	A111	Character 	0	1	2	-	C2	"Human, Academic, Burger, Magic Circle"	You get 1 non-Influence Pull when you call Dr. Panil.  Crank to pop any Possession card.  You may crank him out of turn to pop any Possession card as it is called.
Paranormal Unity Theory (A112)	arcana	A112	A112	Environmental 	3	-	-	-	U1	Academic	All Psychic cards gain trait Astral.  All Astral cards gain trait Psychic.  Pops and is popped by Fractal Infection and Unified Conspiracy Theory.
Islam Petri (A113)	arcana	A113	A113	Character 	5	3*	2*	2	U2	"Human, Neutraliser, Media"	"Flip to pop any Astral, Fringe, or Psychic he can attack.  +2 vs. Astrals, Fringes, and Psychics."
Eileen Pitchford (A114)	arcana	A114	A114	Character 	1	1	3	-	C2	"Human, Psychic"	Crank any time to negate the effects of one Gear.
Nicolae Plesu (A115)	arcana	A115	A115	Character 	1	1	2	-	C1	"Human, Neutraliser, Psychic"	"Crank any time to nullify the effect of a Psychic Whammy, or to pop any Psychic Condition as it is called."
Poltergeist (A116)	arcana	A116	A116	Whammy 	-	-	-	-	C2	Astral	Move one Gear in any Conspiracy from one Character to an adjacent Character.
Gilbert Portwine (A117)	arcana	A117	A117	Character 	1	2*	1*	-	C1	"Human, Neutraliser"	"+4 vs. Kergillians.  If a Kergillian target is available, Gilbert must attack it."
Psi Cat (A118)	arcana	A118	A118	Character 	0	0	0	-	C1	"Animal, Psychic"	"Not unique.  Cannot use Gear.  Immune: Psychic, except that you may crank any psychic to flip a Psi Cat.  When the Psi Cat unflips, you may flip any Psychic in play."
Psychic Anomely (A119)	arcana	A119	A119	Environmental 	0	-	-	-	U1	Psychic	
Psychic Time Bomb (A120)	arcana	A120	A120	Gear 	1@	3	-	-	C2	Psychic	"AP +3.  If this Gear is not moved during your Shift Phase, Character is popped (no Save) immediately."
Blush Quay (A121)	arcana	A121	A121	Character 	2	1	3	-	C2	"Human, Criminal, Psychic"	"Enemy combatants suffer -3 Power.  All CPCs gain ability ""Crank to flip Blush Quay""."
Horus Redwell (A122)	arcana	A122	A122	Character 	5	1	6	2	U2	"Human, Saou, Astral"	Crank any time to cancel the effect of a Secret.
Ring of Gyges (A123)	arcana	A123	A123	Condition 	2@	2	-	-	U2	Astral	Play on Astral only.  Non-cumulative.  Character may flip any time to Avoid Combat.
Fob Saline (A124)	arcana	A124	A124	Character 	1	1	3	-	C2	"Human, Magic Circle, Academic"	"-1 vs Nekroi unless he is in the same Conspiracy as Dr. Jamaranathy Panil.  If Panil is in your conspiracy, you can call Fob at no cost."
Scarab (A125)	arcana	A125	A125	Gear 	1@	-	3	-	C2	"Saou, Astral"	Discard when used.  DP +3.
Secret Temple of Thoth (A126)	arcana	A126	A126	Resource 	0	-	-	*	U1	"Saou, Astral"	4 Pull to call Saou cards or to power Saou effects.  Unique.
Sephira (A127)	arcana	A127	A127	Character 	5	0	5	2	U1	"Alien, Atlantean, Psychic"	Crank to save any Atlantean.  Immune: Control.
Seven Oils (A128)	arcana	A128	A128	Condition 	1@	-	1	-	C1	Saou	+3 DP vs. Astral combatants and effects.  Non-cumulative.
Shadrach (A129)	arcana	A129	A129	Character 	2	1	4	1	U1	"Human, Vornite, CPC, DBI, Government, Cloak"	Crank to flip any Astral or Psychic he can attack.
Hanni Shahal (A130)	arcana	A130	A130	Character 	1	0	1	1*	C2	"Human, Magic Circle, Academic"	+1 Pull to call Magic Circle and Book cards.  Crank any time to cancel the Pull generated by another player's Marlowe Reading Room.
Josephina Shoukry (A131)	arcana	A131	A131	Character 	3	1	2	-	C1	"Human, Cabal, Psychic, Registered"	"Crank to Pop any Weapon, Armor, Fringe, or Sub-Random Gear."
Slipper (A132)	arcana	A132	A132	Character 	3	1	2	-	U2	"Human, Lurker, Psychic"	Crank to move any uncranked character she can attack.  The moved character is cranked.
Pressure Sly (A133)	arcana	A133	A133	Character 	1	2	3	-	C1	"Human, Saou, Compton, Astral"	"Crank any time to add +1 to any attack on a Compton or Saou.  Sir Arthur Compton gains the ability ""Crank to pop Pressure Sly."""
Jersey Smith (A134)	arcana	A134	A134	Character 	4	2	5	2	U1	"Human, Magic Circle, Academic, Astral"	Crank for 4 Pull to call Nekros or Magic Circle cards.
Isabel Soyinka (A135)	arcana	A135	A135	Character 	2	2	2	-	C1	"Human, Neutraliser, Psychic"	"Crank any time to redirect an Astral effect targeted at her onto an adjacent character.  For variable-cost effects, cost is determined as if Isabel were still the target."
Spackle (A136)	arcana	A136	A136	Character 	2	4*	3*	-	C1	"Alien, Neutraliser"	+2 Power vs. Aliens and Kergillians.
Spaulding Manuscript (A137)	arcana	A137	A137	Gear 	3@	-	-	-	U2	"Book, Astral"	Astral user may crank to pop a cranked Character.  Unique.
Madeline Svora (A138)	arcana	A138	A138	Character 	1	0	3	1	C1	"Human, Atlantean, Cabal, Psychic, Registered"	Crystal Traps called onto Madeleine Svora have no cost.
Judy Swelter (A139)	arcana	A139	A139	Character 	0	1	1	-	U1	"Human, Cabal"	Crank to produce the effect of a Secret in Play.  +1 pull when cranked.
Kate Taylor (A140)	arcana	A140	A140	Character 	1	0	2	-	C2	"Human, Net, Psychic"	Martyr for any adjacent (not diagonal) Psychic.
Telekinetic Punch (A141)	arcana	A141	A141	Whammy 	-	-	-	-	C2	Psychic	Crank one Psychic and play this Whammy to flip one Character or pop one Gear.
Throttle (A142)	arcana	A142	A142	Character 	4@	-	5	-	U1	"Nekros, Astral"	"When you call Throttle, place it in an opponent's conspiracy in a legal position for a new Character.  During Influence phase, the player in whose Conspiracy Throttle is loses 1 Influence.  This cannot loower Influence below zero.  If Throttle is popped, it is saved and placed (cranked) in a different Conspiracy (chosen by the player who popped Throttle, among the legal positions for a new Character in that Conspiracy).  Can't attack.  Can't use non-Astral Gear."
Topaz Tidore (A143)	arcana	A143	A143	Character 	3	2	3	1	U1	"Human, Saou, Cabal, Astral, Registered"	Crank to Pop any Environmental in play and replace it with an Environmental from your hand.
Steno Topic (A144)	arcana	A144	A144	Character 	2	4	5	-	C1	"Kergillian, Psychic"	"Immune: Surprise, except he's always Surprised by Psychics."
Raul Trevino (A145)	arcana	A145	A145	Character 	1	1	3	1	C2	Human	"Immune: Kidnap, Hostage."
Ur-Master (A146)	arcana	A146	A146	Condition 	3@	-	-	1	U2	"Psychic, Pharaoh, Quisling"	Play on Psychic only.  Crank to Control and Human or Mutant that the Character can attack.
Alisher Usman (A147)	arcana	A147	A147	Character 	2	1	3	-	U1	"Human, Neutraliser, Magic Circle"	Crank any time to cancel the effects of any Magic Circle's action (including combat).
